model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,execution_time_mean,execution_time_median,execution_time_sd,prediction_accuracy,auc_roc,txt_accuracy,txt_auc_roc,total_duration_mean,total_duration_median,total_duration_sd,load_duration_mean,load_duration_median,load_duration_sd,prompt_eval_duration_mean,prompt_eval_duration_median,prompt_eval_duration_sd,eval_duration_mean,eval_duration_median,eval_duration_sd,prompt_eval_count_mean,prompt_eval_count_median,prompt_eval_count_sd,eval_count_mean,eval_count_median,eval_count_sd,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,model_dir,model_params,model_quantization,total_duration_sec_missing_count,load_duration_sec_missing_count,prompt_eval_duration_sec_missing_count,eval_duration_sec_missing_count,python_api_duration_sec_missing_count,confidence_txt_missing_count,prompt_eval_count_missing_count,eval_count_missing_count
athene-v2:72b-q4_K_M,PromptType.COT,100,100,0,0,62.12971167564392,62.02094542980194,6.611031971496379,60.0,0.5040476190476191,60.0,0.504,,,,,,,,,,,,,,,,,,,24,36,34,6,0.41379310344827586,0.8,0.5454545454545454,athene-v2_72b-q4_k_m,72,q4_k_m,1,1,1,1,1,1,1,1
athene-v2:72b-q4_K_M,PromptType.COT_NSHOT,72,72,0,0,58.529864854282806,58.532861828804016,7.509692119399419,63.888888888888886,0.4657118055555556,63.89,0.4657,,,,,,,,,,,,,,,,,,,16,30,18,8,0.47058823529411764,0.6666666666666666,0.5517241379310345,athene-v2_72b-q4_k_m,72,q4_k_m,1,1,1,1,1,1,1,1
athene-v2:72b-q4_K_M,PromptType.SYSTEM1,100,100,0,0,3.4656481552124023,2.99935519695282,4.634826238400708,65.0,0.6496881496881496,65.0,0.6497,,,,,,,,,,,,,,,,,,,20,45,29,6,0.40816326530612246,0.7692307692307693,0.5333333333333333,athene-v2_72b-q4_k_m,72,q4_k_m,1,1,1,1,1,1,1,1
aya-expanse:32b-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,9.427910904884339,9.517187118530273,1.2528523612343923,50.0,0.5452380952380952,50.0,0.5452,,,,,,,,,,,,,,,,,,,23,27,43,7,0.3484848484848485,0.7666666666666667,0.47916666666666674,aya-expanse_32b-q4_k_m,32,q4_k_m,1,1,1,1,1,1,1,1
aya-expanse:32b-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.8404800033569336,0.7857518196105957,0.5436976384444316,55.0,0.45281582952815824,55.0,0.4528,,,,,,,,,,,,,,,,,,,22,33,40,5,0.3548387096774194,0.8148148148148148,0.4943820224719101,aya-expanse_32b-q4_k_m,32,q4_k_m,1,1,1,1,1,1,1,1
aya-expanse:32b-q4_K_M,PromptType.COT,100,100,0,0,9.965431098937989,9.6120046377182,1.6466718527517241,41.0,0.6301369863013699,41.0,0.6301,,,,,,,,,,,,,,,,,,,25,16,57,2,0.3048780487804878,0.9259259259259259,0.45871559633027525,aya-expanse_32b-q4_k_m,32,q4_k_m,1,1,1,1,1,1,1,1
aya-expanse:8b-fp16,PromptType.COT_NSHOT,100,100,0,0,5.968226568698883,6.053541898727417,0.9243592559182036,51.0,0.5307539682539681,51.0,0.5308,,,,,,,,,,,,,,,,,,,24,27,45,4,0.34782608695652173,0.8571428571428571,0.49484536082474223,aya-expanse_8b-fp16,8,fp16,1,1,1,1,1,1,1,1
aya-expanse:8b-fp16,PromptType.SYSTEM1,100,100,0,0,0.5056105971336364,0.45760202407836914,0.46403103418543473,58.0,0.5829827021972884,58.0,0.583,,,,,,,,,,,,,,,,,,,19,39,30,12,0.3877551020408163,0.6129032258064516,0.4749999999999999,aya-expanse_8b-fp16,8,fp16,1,1,1,1,1,1,1,1
aya-expanse:8b-fp16,PromptType.COT,100,100,0,0,5.620430238246918,5.5753350257873535,0.8665041851717651,36.0,0.5672123015873016,36.0,0.5672,,,,,,,,,,,,,,,,,,,24,12,60,4,0.2857142857142857,0.8571428571428571,0.42857142857142855,aya-expanse_8b-fp16,8,fp16,1,1,1,1,1,1,1,1
aya-expanse:8b-q4_K_M,PromptType.COT,100,100,0,0,2.3126033473014833,2.250994920730591,0.3158840406952586,33.0,0.5624089363768819,33.0,0.5624,,,,,,,,,,,,,,,,,,,26,7,64,3,0.28888888888888886,0.896551724137931,0.4369747899159664,aya-expanse_8b-q4_k_m,8,q4_k_m,1,1,1,1,1,1,1,1
