model_name,prompt_type,accuracy,f1_score,prediction_yes_ct,prediction_no_ct,actual_yes_ct,actual_no_ct,confusion_tp,confusion_tn,confusion_fp,confusion_fn,auc_roc,api_call_total_ct,api_call_success_ct,api_total_duration_sec,api_prompt_eval_count,api_eval_count
athene-v2:72b-q4,cot,55.0,0.6341463414634145,48,52,29,71,39,16,13,32,0.5990772219524041,100,100,118.59972330921,330.72,423.17
athene-v2:72b-q4,cot-nshot,40.0,0.43243243243243246,23,12,10,25,8,6,4,17,0.5720000000000001,35,35,126.30005131925714,2048.0,356.3142857142857
athene-v2:72b-q4,system1,54.0,0.6101694915254238,53,47,29,71,36,18,11,35,0.5842642059252063,100,100,6.75426497877,252.72,18.0
aya-expanse:32b-q4,cot,66.66666666666667,0.7272727272727272,5,4,6,3,4,2,1,2,0.41666666666666663,9,9,44.36186319866666,326.1111111111111,341.6666666666667
aya-expanse:32b-q4,cot-nshot,40.0,0.46315789473684216,71,14,24,61,22,12,49,2,0.7120901639344263,85,85,43.28268955863529,2048.0,241.6705882352941
aya-expanse:32b-q4,system1,46.0,0.4130434782608695,63,37,29,71,19,27,44,10,0.5269548324429335,100,100,4.03606062366,257.59,23.0
aya-expanse:8b-fp16,cot,36.0,0.3962264150943396,77,23,29,71,21,15,56,8,0.5075279261777561,100,100,5.55637672756,333.59,260.38
aya-expanse:8b-fp16,cot-nshot,51.0,0.449438202247191,60,40,29,71,20,31,40,9,0.5757649344341914,100,100,6.25231944472,2048.0,262.4
aya-expanse:8b-fp16,system1,58.0,0.4473684210526315,47,53,29,71,17,41,30,12,0.6146187469645459,100,100,0.6817939996900001,257.59,18.0
aya-expanse:8b-q4,cot,39.0,0.44036697247706424,80,20,29,71,24,15,56,5,0.5621661000485673,100,100,10.517724847450001,333.59,235.93
aya-expanse:8b-q4,cot-nshot,51.0,0.43678160919540227,58,42,29,71,19,32,39,10,0.5347255949490044,100,100,15.21321870026,2048.0,265.47
aya-expanse:8b-q4,system1,58.0,0.4324324324324324,45,55,29,71,16,42,29,13,0.6092763477416222,100,100,1.0240319069500001,257.59,18.0
command-r7b:7b-12-2024-fp16,cot,28.0,0.42857142857142855,97,3,29,71,27,1,70,2,0.659786304031083,100,100,9.203805407639999,708.59,432.62
command-r7b:7b-12-2024-fp16,cot-nshot,43.0,0.42424242424242425,70,30,29,71,21,22,49,8,0.494900437105391,100,100,9.028240268680001,2048.0,392.41
command-r7b:7b-12-2024-fp16,system1,66.0,0.5,39,61,29,71,17,49,22,12,0.6250607090820788,100,100,0.67987593846,632.59,18.0
command-r7b:7b-12-2024-q4,cot,28.0,0.4375,99,1,29,71,28,0,71,1,0.6352598348712968,100,100,18.9124956378,708.59,428.96
command-r7b:7b-12-2024-q4,cot-nshot,45.0,0.3956043956043956,62,38,29,71,18,27,44,11,0.40407965031568727,100,100,20.18724411783,2048.0,376.32
command-r7b:7b-12-2024-q4,system1,62.0,0.4864864864864865,45,55,29,71,18,44,27,11,0.6355026711996115,100,100,1.11513243998,632.59,18.0
command-r:35b-08-2024-q4,cot,39.0,0.45045045045045046,82,18,29,71,25,14,57,4,0.47110247693054874,100,100,9.04876007052,333.59,326.76
command-r:35b-08-2024-q4,cot-nshot,41.0,0.4380952380952381,76,24,29,71,23,18,53,6,0.4932005828071879,100,100,8.390942838560001,2048.0,234.03
command-r:35b-08-2024-q4,system1,43.0,0.42424242424242425,70,30,29,71,21,22,49,8,0.5449247207382224,100,100,0.87306866498,257.59,18.0
deepseek-r1:1.5b,cot,34.0,0.39999999999999997,81,19,29,71,22,12,59,7,0.5573093734822729,100,100,22.18855693466,320.72,734.41
deepseek-r1:1.5b,cot-nshot,68.0,0.3846153846153846,25,75,27,73,10,58,15,17,0.5213089802130898,100,100,33.50272078892,2048.0,928.62
deepseek-r1:1.5b,system1,35.44303797468354,0.4137931034482759,64,15,23,56,18,10,46,5,0.44254658385093165,79,79,10.93925566743038,242.29113924050634,588.7974683544304
deepseek-r1:14b,cot,41.0,0.3789473684210526,76,24,29,71,18,23,6,53,0.5417678484701312,100,100,10.93947469968,320.72,721.74
deepseek-r1:14b,cot-nshot,42.0,0.40816326530612246,72,28,30,70,20,22,8,50,0.6157142857142857,100,100,13.85968609057,2048.0,822.64
deepseek-r1:14b,system1,52.0,0.5471698113207547,65,35,29,71,29,23,6,42,0.5845070422535212,100,100,8.443306389710001,242.72,552.18
deepseek-r1:7b,cot,44.0,0.4716981132075472,79,21,27,73,25,19,54,2,0.6278538812785388,100,100,29.941611463770002,321.26,736.46
deepseek-r1:7b,cot-nshot,44.87179487179487,0.3582089552238805,46,32,21,57,12,23,34,9,0.4849624060150377,78,78,7.87920286148718,2048.0,881.4615384615385
deepseek-r1:7b,system1,46.0,0.46,71,29,29,71,23,23,48,6,0.5706653715395823,100,100,22.942017863,242.72,567.29
deepseek-r1:8b,cot,34.0,0.175,91,9,29,71,7,27,2,64,0.4873725109276348,100,100,82.41456647835001,315.09,727.97
deepseek-r1:8b,cot-nshot,37.0,0.29213483146067415,82,18,29,71,13,24,5,58,0.48494414764448757,100,100,96.10882443981,2048.0,742.41
deepseek-r1:8b,system1,46.0,0.49056603773584906,65,35,29,71,26,20,9,45,0.5660514813016028,100,100,59.188373445319996,237.09,529.01
dolphin-mistral:7b-v2-q4,system1,69.0,0.8050314465408807,12,88,29,71,64,5,24,7,0.5514813016027198,100,100,1.07905157096,326.78,22.12
dolphin3:8b-llama3.1-fp16,system1,66.0,0.39285714285714285,27,73,29,71,11,55,16,18,0.6073336571151045,100,100,0.58941691761,248.09,17.0
dolphin3:8b-llama3.1-q4,cot,43.0,0.44660194174757284,74,26,29,71,23,20,51,6,0.6165614375910636,100,100,2.8610072377,326.09,332.25
dolphin3:8b-llama3.1-q4,cot-nshot,49.0,0.4395604395604396,62,38,29,71,20,29,42,9,0.587178241864983,100,100,2.5589346636599997,2048.0,224.13
dolphin3:8b-llama3.1-q4,system1,66.0,0.3703703703703704,25,75,29,71,10,56,15,19,0.5189412336085479,100,100,0.22965123209,248.09,17.0
exaone3.5:2.4b-instruct-q4,cot,50.0,0.5098039215686274,68,32,34,66,26,24,42,8,0.5120320855614973,100,100,18.70650743279798,365.3131313131313,620.5656565656566
exaone3.5:2.4b-instruct-q4,cot-nshot,50.0,0.33333333333333337,1,7,5,3,1,3,0,4,0.5,8,8,11.62059644575,2048.0,246.375
exaone3.5:2.4b-instruct-q4,system1,39.0,0.4786324786324786,88,12,29,71,28,11,60,1,0.5988343856240893,100,100,0.71630266937,273.74,27.88
exaone3.5:32b-instruct-q4,cot,72.22222222222223,0.6666666666666667,6,12,9,9,5,8,1,4,0.6975308641975309,18,18,47.08925844988889,363.22222222222223,342.94444444444446
exaone3.5:32b-instruct-q4,cot-nshot,58.0,0.4324324324324324,45,55,29,71,16,42,29,13,0.4509470616804274,100,100,66.6867949723,2048.0,393.91
exaone3.5:32b-instruct-q4,system1,49.0,0.42696629213483145,60,40,29,71,19,30,41,10,0.5463817387081107,100,100,4.78929696533,273.74,27.6
exaone3.5:7.8b-instruct-q4,cot,42.0,0.4727272727272727,81,19,29,71,26,16,55,3,0.5274405050995629,100,100,2.8679534454,364.74,354.1
exaone3.5:7.8b-instruct-q4,cot-nshot,48.0,0.5094339622641509,77,23,29,71,27,21,50,2,0.5337542496357455,100,100,2.95106716446,2048.0,289.06
exaone3.5:7.8b-instruct-q4,system1,60.0,0.4444444444444444,43,57,29,71,16,44,27,13,0.5403108305002429,100,100,0.33764677227,273.74,27.43
falcon3:10b-instruct-q4,cot,59.0,0.4225352112676057,42,58,29,71,15,44,27,14,0.5784361340456532,100,100,19.41217957738,361.41,360.24
falcon3:10b-instruct-q4,cot-nshot,57.142857142857146,0.5200000000000001,31,25,19,37,13,19,18,6,0.5156472261735419,56,56,22.854128428375,2048.0,353.07142857142856
falcon3:10b-instruct-q4,system1,44.0,0.46153846153846156,75,25,29,71,24,20,51,5,0.4970859640602234,100,100,1.4794827318900001,271.41,21.0
falcon3:7b-instruct-q4,cot,53.0,0.4337349397590361,54,46,29,71,18,35,36,11,0.5298688683827101,100,100,2.70210880142,361.41,343.6
falcon3:7b-instruct-q4,cot-nshot,57.0,0.5057471264367817,58,42,29,71,22,35,36,7,0.4558037882467217,100,100,2.6790357009499997,2048.0,278.67
falcon3:7b-instruct-q4,system1,45.0,0.43298969072164945,68,32,29,71,21,24,47,8,0.513598834385624,100,100,0.31268782494,271.41,26.0
gemma2:27b-instruct-q4,cot,37.0,0.4705882352941177,90,10,29,71,28,9,62,1,0.5825643516270034,100,100,7.13674049565,341.62,277.24
gemma2:27b-instruct-q4,cot-nshot,48.0,0.46938775510204084,69,31,29,71,23,25,46,6,0.5148130160271976,100,100,7.624195578819999,2048.0,236.72
gemma2:27b-instruct-q4,system1,41.0,0.4587155963302752,80,20,29,71,25,16,55,4,0.5570665371539583,100,100,0.98573551274,256.62,25.0
gemma2:2b-instruct-q4,cot,57.0,0.6666666666666667,42,58,29,71,43,14,15,28,0.42107819329771734,100,100,2.47977620821,346.62,434.17
gemma2:2b-instruct-q4,cot-nshot,69.0,0.7769784172661871,32,68,29,71,54,15,14,17,0.5344827586206897,100,100,2.2838705202100003,2048.0,356.33
gemma2:2b-instruct-q4,system1,65.0,0.7445255474452555,34,66,29,71,51,14,15,20,0.48785818358426425,100,100,0.39419545588,261.62,53.38
gemma2:9b-instruct-q4,cot,60.0,0.45945945945945943,45,55,29,71,17,43,28,12,0.569208353569694,100,100,18.22799285834,341.62,323.64
gemma2:9b-instruct-q4,cot-nshot,58.0,0.41666666666666663,43,57,29,71,15,43,28,14,0.5628946090335114,100,100,20.27494157541,2048.0,287.15
gemma2:9b-instruct-q4,system1,66.0,0.45161290322580644,33,67,29,71,14,52,19,15,0.6056338028169014,100,100,1.42960741226,256.62,20.24
glm4:9b-chat-q4,cot,38.0,0.27906976744186046,85,15,29,71,12,26,3,59,0.5682370082564352,100,100,17.664566964229998,320.15,361.86
glm4:9b-chat-q4,cot-nshot,51.0,0.5585585585585585,60,40,29,71,31,20,9,40,0.509470616804274,100,100,22.814869162830004,2048.0,369.72
glm4:9b-chat-q4,system1,47.0,0.4752475247524753,70,30,29,71,24,23,6,47,0.5781932977173385,100,100,1.06919223813,242.15,17.0
granite3.1-dense:2b-instruct-q4,cot,36.0,0.21951219512195125,89,11,29,71,9,27,2,62,0.5135988343856241,100,100,1.4460840263299999,382.7,272.29
granite3.1-dense:2b-instruct-q4,cot-nshot,47.0,0.49523809523809526,66,34,29,71,26,21,8,45,0.5553666828557552,100,100,1.5301589442999999,2048.0,219.17
granite3.1-dense:2b-instruct-q4,system1,57.0,0.6906474820143885,32,68,29,71,48,9,20,23,0.5286546867411366,100,100,0.1656826485,297.7,18.0
granite3.1-dense:8b-instruct-q4,cot,48.0,0.46938775510204084,69,31,29,71,23,25,46,6,0.5813501699854299,100,100,3.7939089089099998,382.7,403.12
granite3.1-dense:8b-instruct-q4,cot-nshot,52.0,0.41463414634146334,53,47,29,71,17,35,36,12,0.5660514813016027,100,100,3.6896626385,2048.0,316.5
granite3.1-dense:8b-instruct-q4,system1,61.0,0.38095238095238093,34,66,29,71,12,49,22,17,0.5677513355998057,100,100,0.5865542337799999,297.7,56.12
granite3.1-moe:3b-instruct-q4,cot,47.0,0.4752475247524753,70,30,29,71,24,23,6,47,0.4021369596891695,100,100,2.64509389128,382.7,275.24
granite3.1-moe:3b-instruct-q4,cot-nshot,53.0,0.5982905982905984,54,46,29,71,35,18,11,36,0.43904808159300635,100,100,2.6594622717600003,2048.0,204.28
granite3.1-moe:3b-instruct-q4,system1,54.0,0.6101694915254238,53,47,29,71,36,18,11,35,0.4645458960660515,100,100,0.38804526260000005,297.7,26.14
