model_name,prompt_type,accuracy,f1_score,prediction_yes_ct,prediction_no_ct,actual_yes_ct,actual_no_ct,confusion_tp,confusion_tn,confusion_fp,confusion_fn,auc_roc,api_call_total_ct,api_call_success_ct,api_total_duration_sec,api_prompt_eval_count,api_eval_count
aya-expanse:8b-q4,cot,34.375,0.4473684210526315,59,5,17,47,17,5,42,0,0.5594493116395495,64,64,10.5284340591875,335.59375,237.140625
aya-expanse:8b-q4,cot-nshot,42.0,0.4662576687116564,117,33,46,104,38,25,79,8,0.544732441471572,150,150,14.173780036386667,2048.0,243.42666666666668
aya-expanse:8b-q4,system1,59.333333333333336,0.45045045045045046,65,85,46,104,25,64,40,21,0.5792224080267558,150,150,1.0068671237733333,257.34,18.0
deepseek-r1:7b,cot,42.0,0.45283018867924535,118,32,41,109,36,27,82,5,0.667710897292459,150,150,6.366964945846666,320.32,789.1466666666666
deepseek-r1:7b,cot-nshot,47.333333333333336,0.3969465648854961,92,58,39,111,26,45,66,13,0.5926310926310926,150,150,6.974446413913333,2048.0,792.2466666666667
deepseek-r1:7b,system1,50.0,0.45255474452554745,91,59,46,104,31,44,60,15,0.5279055183946488,150,150,4.35124462696,242.34666666666666,535.1133333333333
dolphin3:8b-llama3.1-q4,cot,45.333333333333336,0.44594594594594594,104,46,44,106,33,35,71,11,0.5422384219554031,150,150,13.303872461153334,326.0,324.54
dolphin3:8b-llama3.1-q4,cot-nshot,48.666666666666664,0.49673202614379086,107,43,46,104,38,35,69,8,0.6343018394648829,150,150,12.860607144033333,2048.0,229.19333333333333
dolphin3:8b-llama3.1-q4,system1,66.66666666666667,0.4444444444444445,44,106,46,104,20,80,24,26,0.5260242474916388,150,150,0.9638923648,247.79333333333332,17.453333333333333
exaone3.5:7.8b-instruct-q4,cot,42.0,0.4313725490196079,115,35,38,112,33,30,82,5,0.521499060150376,150,150,2.8365325855533334,363.7866666666667,349.18666666666667
exaone3.5:7.8b-instruct-q4,cot-nshot,45.333333333333336,0.49382716049382713,116,34,46,104,40,28,76,6,0.5243520066889632,150,150,2.889834558733333,2048.0,282.5133333333333
exaone3.5:7.8b-instruct-q4,system1,61.333333333333336,0.4528301886792453,60,90,46,104,24,68,36,22,0.5259197324414715,150,150,0.28171419117333335,273.52666666666664,27.4
falcon3:7b-instruct-q4,cot,52.666666666666664,0.4227642276422764,77,73,46,104,26,53,51,20,0.49519230769230765,150,150,13.308847074726668,361.16,351.02666666666664
falcon3:7b-instruct-q4,cot-nshot,48.666666666666664,0.49673202614379086,107,43,46,104,38,35,69,8,0.5762959866220736,150,150,13.73111718206,2048.0,287.88666666666666
falcon3:7b-instruct-q4,system1,50.666666666666664,0.4788732394366197,96,54,46,104,34,42,62,12,0.4876672240802675,150,150,1.1816866514533333,271.16,26.0
gemma2:9b-instruct-q4,cot,62.666666666666664,0.4814814814814815,62,88,46,104,26,68,36,20,0.5031354515050167,150,150,3.88744234604,341.37333333333333,325.64666666666665
gemma2:9b-instruct-q4,cot-nshot,54.666666666666664,0.47692307692307695,84,66,46,104,31,51,53,15,0.5156772575250836,150,150,4.019764210986667,2048.0,279.02666666666664
gemma2:9b-instruct-q4,system1,63.333333333333336,0.38202247191011235,43,107,46,104,17,78,26,29,0.5438963210702341,150,150,0.3596254247533333,256.37333333333333,22.3
glm4:9b-chat-q4,cot,36.0,0.4545454545454545,130,20,46,104,40,14,90,6,0.5667851170568562,150,150,17.92572937064,319.82666666666665,373.96
glm4:9b-chat-q4,cot-nshot,43.333333333333336,0.46540880503144655,113,37,46,104,37,28,76,9,0.5248745819397993,150,150,22.303584330926665,2048.0,365.8066666666667
glm4:9b-chat-q4,system1,49.333333333333336,0.4933333333333333,104,46,46,104,37,37,67,9,0.5286371237458194,150,150,1.0735163802666667,241.82666666666665,17.08
granite3.1-dense:8b-instruct-q4,cot,47.333333333333336,0.4475524475524475,103,47,40,110,32,39,71,8,0.5853409090909091,150,150,3.77743856392,382.38666666666666,401.32666666666665
granite3.1-dense:8b-instruct-q4,cot-nshot,52.0,0.5068493150684931,100,50,46,104,37,41,63,9,0.5984531772575251,150,150,3.8325400768866666,2048.0,331.5733333333333
granite3.1-dense:8b-instruct-q4,system1,62.0,0.4123711340206186,51,99,46,104,20,73,31,26,0.5124372909698997,150,150,0.9884818678933334,297.08666666666664,100.18666666666667
hermes3:8b-llama3.1-q4,cot,32.0,0.46875,146,4,46,104,45,3,101,1,0.5348035117056856,150,150,15.128814439673334,325.79333333333335,370.38
hermes3:8b-llama3.1-q4,cot-nshot,36.666666666666664,0.4508670520231214,127,23,46,104,39,16,88,7,0.542955685618729,150,150,15.808958171426665,2048.0,298.58
hermes3:8b-llama3.1-q4,system1,56.666666666666664,0.5112781954887219,87,63,46,104,34,51,53,12,0.6066053511705686,150,150,0.9475866267466667,247.79333333333332,17.0
llama3.1:8b-instruct-q4,cot,35.333333333333336,0.47567567567567565,139,11,46,104,44,9,95,2,0.5826714046822743,150,150,3.3516978622,326.79333333333335,387.8466666666667
llama3.1:8b-instruct-q4,cot-nshot,45.333333333333336,0.5,118,32,46,104,41,27,77,5,0.5502717391304348,150,150,3.32195763398,2048.0,318.56666666666666
llama3.1:8b-instruct-q4,system1,56.0,0.5000000000000001,86,64,46,104,33,51,53,13,0.6248954849498327,150,150,0.21568724106,248.79333333333332,17.0
marco-o1:7b-q4,cot,42.666666666666664,0.4691358024691358,116,34,46,104,38,26,78,8,0.524247491638796,150,150,13.918137686266666,330.3466666666667,359.24
marco-o1:7b-q4,cot-nshot,55.333333333333336,0.49624060150375937,87,63,46,104,33,50,54,13,0.5944816053511706,150,150,14.326620243886667,2048.0,289.6
marco-o1:7b-q4,system1,64.0,0.25,26,124,46,104,9,87,17,37,0.4941471571906354,150,150,0.91454579874,252.34666666666666,18.0
mistral:7b-instruct-q4,cot,54.0,0.3551401869158879,61,89,46,104,19,62,42,27,0.4783653846153845,150,150,2.85094455422,364.2,363.86
mistral:7b-instruct-q4,cot-nshot,56.666666666666664,0.2696629213483146,43,107,46,104,12,73,31,34,0.4712583612040134,150,150,2.720440078693333,2048.0,274.44666666666666
mistral:7b-instruct-q4,system1,54.0,0.30303030303030304,53,97,46,104,15,66,38,31,0.4945652173913044,150,150,0.21903174467333333,276.2,21.86
olmo2:7b-1124-instruct-q4,cot,31.333333333333332,0.46073298429319376,147,3,44,106,44,3,103,0,0.5348413379073756,150,150,13.931365881013335,326.1333333333333,347.4866666666667
