Cross-Validation Metrics
========================
Fold 1 => ACC: 0.668, RECALL: 0.143, F1: 0.194, AUC: 0.600
Fold 2 => ACC: 0.686, RECALL: 0.190, F1: 0.253, AUC: 0.615
Fold 3 => ACC: 0.712, RECALL: 0.190, F1: 0.270, AUC: 0.542
Fold 4 => ACC: 0.677, RECALL: 0.095, F1: 0.141, AUC: 0.610
Fold 5 => ACC: 0.676, RECALL: 0.210, F1: 0.263, AUC: 0.592

Test Set Performance
====================
              precision    recall  f1-score   support

           0       0.74      0.87      0.80       204
           1       0.38      0.20      0.26        79

    accuracy                           0.69       283
   macro avg       0.56      0.54      0.53       283
weighted avg       0.64      0.69      0.65       283

Confusion Matrix:
[[178  26]
 [ 63  16]]

Feature Importance Ranking (Descending SHAP)
=============================================
 1. num__jobs_held_in_2002          0.22422
 2. num__weight_in_lbs              0.20968
 3. cat__sex_recorded_in_1997_female  0.20529
 4. num__height_total_inches        0.19322
 5. cat__used_cocaine_or_other_hard_drug_in_last_4_years_False  0.17994
 6. num__number_of_arrests_in_last_5_years  0.12013
 7. cat__marriage_or_cohabitation_status_in_2002_married, spouse present  0.10027
 8. cat__parent_or_guardian_relationship_at_age_12_other adults, biological parent status unknown, not group quarters  0.09884
 9. cat__homeless_for_2+_nights_over_last_5_years_False  0.09650
10. num__household_size_in_1997     0.08587
11. cat__college_enrollment_status_in_2002_not enrolled, no high school degree, no GED  0.08311
12. cat__used_marijuana_in_last_4_years_False  0.07025
13. cat__marriage_or_cohabitation_status_in_2002_never married, not cohabiting  0.06748
14. cat__raised_in_urban_or_rural_area_rural  0.06705
15. cat__raised_in_urban_or_rural_area_Unknown  0.06637
16. cat__college_enrollment_status_in_2002_enrolled in a 2-year college  0.06129
17. cat__highest_degree_by_2002_high school diploma (HS)  0.06116
18. cat__used_any_drug_in_last_4_years_False  0.06109
19. cat__how_much_time_in_last_month_when_nothing_cheers_you_up_most of the time  0.06030
20. num__age                        0.05998
21. cat__highest_degree_by_2002_Unknown  0.05775
22. cat__any_adult_household_member_jailed_in_last_5_years_False  0.05244
23. cat__recieved_food_stamps_in_2002_False  0.05062
24. cat__parent_or_guardian_relationship_at_age_12_biological mother, marital status unknown  0.04521
25. cat__i_often_prey_to_god_for_help_False  0.04194
26. cat__race_black                 0.03837
27. cat__college_enrollment_status_in_2002_not enrolled, high school degree  0.03681
28. cat__how_much_time_in_last_month_when_nothing_cheers_you_up_none of the time  0.03636
29. cat__college_enrollment_status_in_2002_not enrolled, GED  0.03009
30. cat__parent_or_guardian_relationship_at_age_12_Unknown  0.02925
31. cat__raised_in_urban_or_rural_area_urban  0.02896
32. cat__college_enrollment_status_in_2002_enrolled in a 4-year college  0.02740
33. cat__god_has_nothing_to_do_with_me_personally_False  0.02639
34. cat__ever_convicted_in_last_5_years_False  0.02177
35. cat__parent_or_guardian_relationship_at_age_12_both biological parents  0.02157
36. cat__race_white                 0.01978
37. cat__victim_of_violent_crime_in_last_5_years_False  0.01939
38. cat__how_much_time_in_last_month_when_nothing_cheers_you_up_some of the time  0.01714
39. cat__marriage_or_cohabitation_status_in_2002_never married, cohabiting  0.01352
40. cat__race_asian or pacific islander  0.01316
41. cat__college_enrollment_status_in_2002_enrolled in grades 1-12, not a high school graduate  0.01218
42. cat__college_enrollment_status_in_2002_not enrolled, some college  0.01101
43. cat__race_mixed-race            0.00913
44. cat__race_hispanic              0.00864
45. cat__parent_or_guardian_relationship_at_age_12_biological mother, other parent present  0.00789
46. cat__parent_or_guardian_relationship_at_age_12_biological dad, marital status unknown  0.00723
47. cat__highest_degree_by_2002_GED  0.00662
48. cat__marriage_or_cohabitation_status_in_2002_married, spouse absent  0.00633
49. cat__parent_or_guardian_relationship_at_age_12_biological father, other parent present  0.00381
50. cat__marriage_or_cohabitation_status_in_2002_divorced, cohabiting  0.00000
51. cat__sex_recorded_in_1997_male  0.00000
52. cat__marriage_or_cohabitation_status_in_2002_divorced, not cohabiting  0.00000
53. cat__marriage_or_cohabitation_status_in_2002_separated, cohabiting  0.00000
54. cat__highest_degree_by_2002_associate/junior college (AA)  0.00000
55. cat__marriage_or_cohabitation_status_in_2002_separated, not cohabiting  0.00000
56. cat__parent_or_guardian_relationship_at_age_12_adoptive parent(s)  0.00000
57. cat__highest_degree_by_2002_bachelor's degree (BA, BS)  0.00000
58. cat__college_enrollment_status_in_2002_enrolled in a graduate program  0.00000
59. cat__college_enrollment_status_in_2002_not enrolled, 2-year college graduate  0.00000
60. cat__college_enrollment_status_in_2002_not enrolled, 4-year college graduate  0.00000
61. cat__parent_or_guardian_relationship_at_age_12_group quarters  0.00000
62. cat__parent_or_guardian_relationship_at_age_12_foster parent(s)  0.00000
63. cat__parent_or_guardian_relationship_at_age_12_anything else  0.00000
64. cat__victim_of_violent_crime_in_last_5_years_True  0.00000
65. cat__any_adult_household_member_jailed_in_last_5_years_True  0.00000
66. cat__homeless_for_2+_nights_over_last_5_years_True  0.00000
67. cat__recieved_food_stamps_in_2002_True  0.00000
68. cat__i_often_prey_to_god_for_help_True  0.00000
69. cat__god_has_nothing_to_do_with_me_personally_True  0.00000
70. cat__how_much_time_in_last_month_when_nothing_cheers_you_up_all of the time  0.00000
71. cat__used_cocaine_or_other_hard_drug_in_last_4_years_True  0.00000
72. cat__used_marijuana_in_last_4_years_True  0.00000
73. cat__ever_arrested_in_last_5_years_True  0.00000
74. cat__used_any_drug_in_last_4_years_True  0.00000
75. cat__race_american indian, eskimo or aleut  0.00000
76. cat__ever_convicted_in_last_5_years_True  0.00000
