Unnamed: 0,sex_recorded_in_1997,marriage_or_cohabitation_status_in_2002,highest_degree_by_2002,college_enrollment_status_in_2002,jobs_held_in_2002,household_size_in_1997,parent_or_guardian_relationship_at_age_12,raised_in_urban_or_rural_area,homeless_for_2+_nights_over_last_5_years,any_adult_household_member_jailed_in_last_5_years,recieved_food_stamps_in_2002,victim_of_violent_crime_in_last_5_years,i_often_prey_to_god_for_help,god_has_nothing_to_do_with_me_personally,how_much_time_in_last_month_when_nothing_cheers_you_up,used_marijuana_in_last_4_years,used_cocaine_or_other_hard_drug_in_last_4_years,used_any_drug_in_last_4_years,ever_arrested_in_last_5_years,number_of_arrests_in_last_5_years,target,ever_convicted_in_last_5_years,weight_in_lbs,age,height_total_inches,race
0,male,"never married, cohabiting",Unknown,"not enrolled, no high school degree, no GED",0,6,"biological mother, marital status unknown",urban,False,False,False,False,True,False,none of the time,True,False,True,True,6,1,True,162.0,,,hispanic
1,female,"never married, not cohabiting",GED,"not enrolled, some college",3,4,"biological mother, marital status unknown",urban,False,False,True,False,False,True,none of the time,True,False,True,True,1,0,False,137.0,,,black
2,male,"never married, cohabiting",high school diploma (HS),"not enrolled, some college",0,3,Unknown,Unknown,False,False,False,False,True,False,none of the time,False,False,False,True,1,0,False,187.0,,,black
3,male,"never married, not cohabiting",high school diploma (HS),enrolled in a 2-year college,4,5,Unknown,Unknown,False,False,False,False,True,True,none of the time,True,True,True,True,2,0,False,180.0,,,black
4,male,"never married, not cohabiting",Unknown,"not enrolled, no high school degree, no GED",3,4,anything else,Unknown,False,False,False,False,True,True,most of the time,True,False,True,True,1,0,False,140.0,,,hispanic
5,male,"never married, not cohabiting",GED,"not enrolled, GED",2,4,"biological mother, marital status unknown",urban,True,False,False,False,True,True,all of the time,True,False,True,True,2,1,False,212.0,,,black
6,male,"never married, not cohabiting",high school diploma (HS),"not enrolled, high school degree",0,4,"biological mother, other parent present",Unknown,False,False,False,True,False,True,most of the time,True,False,True,True,1,0,True,155.0,,,white
7,male,"never married, not cohabiting",high school diploma (HS),"not enrolled, high school degree",2,4,both biological parents,urban,False,False,False,False,True,False,none of the time,False,False,False,True,1,0,False,220.0,,,hispanic
8,male,"never married, not cohabiting",high school diploma (HS),enrolled in a 4-year college,1,5,"biological mother, marital status unknown",urban,False,False,False,False,False,False,none of the time,True,True,True,True,1,0,False,159.0,,,white
9,male,"never married, not cohabiting",Unknown,"enrolled in grades 1-12, not a high school graduate",1,4,"biological mother, marital status unknown",urban,False,False,False,False,True,False,none of the time,False,False,False,True,1,0,False,140.0,,,black
10,male,"never married, not cohabiting",high school diploma (HS),enrolled in a 4-year college,1,4,both biological parents,urban,False,False,False,False,True,False,some of the time,True,False,True,True,1,0,True,140.0,,,white
11,male,"never married, not cohabiting",high school diploma (HS),"not enrolled, high school degree",3,5,Unknown,Unknown,False,False,False,False,True,False,all of the time,True,False,True,True,2,0,True,145.0,,,white
12,male,"never married, not cohabiting",high school diploma (HS),enrolled in a 2-year college,3,5,"biological mother, marital status unknown",urban,False,False,False,False,True,False,some of the time,True,False,True,True,1,0,False,174.0,,,black
13,male,"never married, not cohabiting",high school diploma (HS),enrolled in a 4-year college,0,4,both biological parents,urban,False,False,False,False,False,True,some of the time,True,False,True,True,1,0,True,145.0,,,asian or pacific islander
14,male,"never married, not cohabiting",Unknown,"not enrolled, no high school degree, no GED",0,5,"biological mother, marital status unknown",urban,False,False,False,False,True,True,all of the time,True,True,True,True,5,1,True,165.0,,,hispanic
15,male,"never married, not cohabiting",high school diploma (HS),"not enrolled, high school degree",2,5,"biological mother, marital status unknown",urban,False,False,False,False,True,False,none of the time,True,True,True,True,2,1,False,187.0,,,black
16,male,"never married, cohabiting",high school diploma (HS),"not enrolled, high school degree",3,4,"biological mother, marital status unknown",Unknown,False,False,False,False,True,False,some of the time,False,False,False,True,1,0,True,160.0,,,black
17,male,"never married, cohabiting",GED,"not enrolled, GED",1,4,"biological mother, marital status unknown",urban,False,False,False,False,False,False,none of the time,True,False,True,True,1,0,True,170.0,,,white
18,male,"never married, cohabiting",high school diploma (HS),"not enrolled, high school degree",5,3,Unknown,urban,False,False,False,False,False,False,none of the time,True,True,True,True,4,0,True,185.0,,,white
19,male,"never married, not cohabiting",high school diploma (HS),"not enrolled, some college",5,4,both biological parents,urban,False,False,False,True,False,True,all of the time,True,True,True,True,4,0,True,135.0,,,white
20,male,"never married, not cohabiting",high school diploma (HS),enrolled in a 4-year college,1,4,both biological parents,urban,False,False,False,False,False,True,some of the time,True,False,True,True,1,1,False,160.0,,,hispanic
21,male,"married, spouse present",GED,"not enrolled, some college",1,4,Unknown,Unknown,False,False,False,False,True,False,some of the time,True,False,True,True,3,0,True,190.0,,,hispanic
22,male,"never married, not cohabiting",high school diploma (HS),"not enrolled, some college",1,3,both biological parents,urban,False,False,False,True,True,False,some of the time,True,True,True,True,6,1,True,140.0,,,hispanic
23,female,"never married, cohabiting",high school diploma (HS),"not enrolled, high school degree",1,7,Unknown,Unknown,False,False,False,False,True,True,some of the time,False,False,False,True,1,0,False,117.0,,,hispanic
24,male,"never married, not cohabiting",GED,"not enrolled, high school degree",3,5,both biological parents,urban,False,False,False,False,False,True,none of the time,True,True,True,True,2,0,True,155.0,,,white
25,male,"never married, not cohabiting",Unknown,"not enrolled, no high school degree, no GED",3,5,both biological parents,urban,False,False,False,False,False,False,some of the time,True,True,True,True,1,1,True,180.0,,,white
26,male,"never married, not cohabiting",GED,"not enrolled, GED",1,6,Unknown,Unknown,False,False,False,False,False,True,none of the time,True,False,True,True,1,0,False,135.0,,,black
27,female,"never married, not cohabiting",GED,"not enrolled, some college",2,4,both biological parents,urban,False,False,False,False,False,False,all of the time,True,True,True,True,1,1,False,139.0,,,white
28,female,"never married, not cohabiting",high school diploma (HS),"not enrolled, some college",4,4,both biological parents,urban,False,True,False,False,True,False,none of the time,True,True,True,True,2,1,False,180.0,,,white
29,female,"never married, not cohabiting",Unknown,"enrolled in grades 1-12, not a high school graduate",3,6,"biological mother, marital status unknown",urban,False,False,False,False,True,False,some of the time,True,False,True,True,1,0,False,212.0,,,hispanic
30,male,"never married, not cohabiting",high school diploma (HS),"not enrolled, some college",1,5,"biological mother, marital status unknown",urban,False,False,False,False,True,True,none of the time,True,True,True,True,2,0,False,130.0,,,white
31,female,"never married, not cohabiting",high school diploma (HS),"not enrolled, some college",1,4,"biological mother, marital status unknown",urban,False,False,False,False,False,False,none of the time,True,False,True,True,1,0,False,187.0,,,white
32,male,"never married, not cohabiting",associate/junior college (AA),enrolled in a 4-year college,3,4,both biological parents,urban,False,False,False,True,True,True,none of the time,True,False,True,True,1,0,False,162.0,,,black
33,male,"married, spouse present",GED,"not enrolled, GED",2,5,Unknown,Unknown,False,True,False,False,True,False,none of the time,False,False,False,True,1,0,False,240.0,,,asian or pacific islander
34,male,"never married, not cohabiting",high school diploma (HS),enrolled in a 2-year college,1,5,Unknown,Unknown,False,False,False,True,False,False,none of the time,False,False,False,True,2,0,True,135.0,,,asian or pacific islander
35,male,"never married, not cohabiting",Unknown,"not enrolled, no high school degree, no GED",1,5,Unknown,Unknown,False,False,False,False,True,True,most of the time,False,False,False,True,2,0,False,140.0,,,asian or pacific islander
36,male,"never married, cohabiting",Unknown,"enrolled in grades 1-12, not a high school graduate",1,6,both biological parents,urban,False,False,False,False,True,False,most of the time,True,False,True,True,3,0,False,170.0,,,hispanic
37,female,"married, spouse present",Unknown,"not enrolled, no high school degree, no GED",4,5,"biological mother, marital status unknown",urban,False,True,False,False,True,True,some of the time,False,True,True,True,1,1,False,140.0,,,hispanic
38,female,"never married, not cohabiting",high school diploma (HS),enrolled in a 2-year college,2,5,both biological parents,urban,False,False,False,False,True,True,some of the time,True,True,True,True,2,0,False,180.0,,,hispanic
39,male,"never married, not cohabiting",Unknown,"not enrolled, no high school degree, no GED",0,5,both biological parents,urban,False,False,False,True,True,True,none of the time,True,True,True,True,8,0,True,140.0,,,hispanic
40,male,"separated, not cohabiting",Unknown,"not enrolled, no high school degree, no GED",0,4,"other adults, biological parent status unknown, not group quarters",urban,False,False,False,True,True,True,some of the time,True,True,True,True,3,1,True,187.0,,,hispanic
41,male,"never married, not cohabiting",GED,"not enrolled, GED",1,4,"biological dad, marital status unknown",urban,False,False,False,False,False,True,none of the time,True,True,True,True,1,0,False,140.0,,,hispanic
