college02,num_weight,experience02,parentrelations,height_total_inches,sex,married02,cocaine,urbanrural,race,y_arrestedafter2002,nshot_summary_text
"not enrolled, no high school degree, no GED",162,0,"biological mother, marital status unknown",60,male,"never married, cohabiting",False,urban,hispanic,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 60, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
"not enrolled, some college",137,3,"biological mother, marital status unknown",64,female,"never married, not cohabiting",False,urban,black,False,"current education status is not enrolled, some college, and weight in pounds is 137, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, some college",187,0,Unknown,69,male,"never married, cohabiting",False,Unknown,black,False,"current education status is not enrolled, some college, and weight in pounds is 187, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
enrolled in a 2-year college,180,4,Unknown,68,male,"never married, not cohabiting",True,Unknown,black,False,"current education status is enrolled in a 2-year college, and weight in pounds is 180, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 68, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, no high school degree, no GED",140,3,anything else,66,male,"never married, not cohabiting",False,Unknown,hispanic,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is anything else, and height in inches is 66, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is hispanic"
"not enrolled, GED",212,2,"biological mother, marital status unknown",71,male,"never married, not cohabiting",False,urban,black,True,"current education status is not enrolled, GED, and weight in pounds is 212, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, high school degree",155,0,"biological mother, other parent present",67,male,"never married, not cohabiting",False,Unknown,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 155, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 67, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, high school degree",220,2,both biological parents,68,male,"never married, not cohabiting",False,urban,hispanic,False,"current education status is not enrolled, high school degree, and weight in pounds is 220, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
enrolled in a 4-year college,159,1,"biological mother, marital status unknown",74,male,"never married, not cohabiting",True,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 159, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"enrolled in grades 1-12, not a high school graduate",140,1,"biological mother, marital status unknown",67,male,"never married, not cohabiting",False,urban,black,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
enrolled in a 4-year college,140,1,both biological parents,70,male,"never married, not cohabiting",False,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
