parentrelations,college02,married02,race,depression,marijuana_anydrug,homelessness,sex,urbanrural,faminjail,numberofarrestsby2002,godhasnothingtodo,experience02,hhsize97,cocaine,victim,foodstamp,num_weight,height_total_inches,age,askgod,convictedby2002,y_arrestedafter2002,nshot_summary_text
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, cohabiting",hispanic,none of the time,marijuana_anydrug,False,male,urban,False,6,False,0,6,False,False,False,162,60,18,True,True,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 6, and believes God has nothing to do with me is False, and number of jobs held in past year is 0, and household size  as teen is 6, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 162, and height in inches is 60, and age is 18, and often asks God for help is True, and number of previous convictions is True"
"biological mother, marital status unknown","not enrolled, some college","never married, not cohabiting",black,none of the time,marijuana_anydrug,False,female,urban,False,1,True,3,4,False,False,True,137,64,21,False,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 3, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is True, and weight in pounds is 137, and height in inches is 64, and age is 21, and often asks God for help is False, and number of previous convictions is False"
Unknown,"not enrolled, some college","never married, cohabiting",black,none of the time,,False,male,Unknown,False,1,False,0,3,False,False,False,187,69,22,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, some college, and current marriage status is never married, cohabiting, and race is black, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 0, and household size  as teen is 3, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 187, and height in inches is 69, and age is 22, and often asks God for help is True, and number of previous convictions is False"
Unknown,enrolled in a 2-year college,"never married, not cohabiting",black,none of the time,marijuana_anydrug,False,male,Unknown,False,2,True,4,5,True,False,False,180,68,18,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is enrolled in a 2-year college, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is True, and number of jobs held in past year is 4, and household size  as teen is 5, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 180, and height in inches is 68, and age is 18, and often asks God for help is True, and number of previous convictions is False"
anything else,"not enrolled, no high school degree, no GED","never married, not cohabiting",hispanic,most of the time,marijuana_anydrug,False,male,Unknown,False,1,True,3,4,False,False,False,140,66,19,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is anything else, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is most of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 3, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 140, and height in inches is 66, and age is 19, and often asks God for help is True, and number of previous convictions is False"
"biological mother, marital status unknown","not enrolled, GED","never married, not cohabiting",black,all of the time,marijuana_anydrug,True,male,urban,False,2,True,2,4,False,False,False,212,71,21,True,False,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is all of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is True, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is True, and number of jobs held in past year is 2, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 212, and height in inches is 71, and age is 21, and often asks God for help is True, and number of previous convictions is False"
"biological mother, other parent present","not enrolled, high school degree","never married, not cohabiting",white,most of the time,marijuana_anydrug,False,male,Unknown,False,1,True,0,4,False,True,False,155,67,18,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is most of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 0, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is True, and used food stamps in past year is False, and weight in pounds is 155, and height in inches is 67, and age is 18, and often asks God for help is False, and number of previous convictions is True"
both biological parents,"not enrolled, high school degree","never married, not cohabiting",hispanic,none of the time,,False,male,urban,False,1,False,2,4,False,False,False,220,68,21,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 2, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 220, and height in inches is 68, and age is 21, and often asks God for help is True, and number of previous convictions is False"
"biological mother, marital status unknown",enrolled in a 4-year college,"never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,urban,False,1,False,1,5,True,False,False,159,74,18,False,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 1, and household size  as teen is 5, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 159, and height in inches is 74, and age is 18, and often asks God for help is False, and number of previous convictions is False"
"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate","never married, not cohabiting",black,none of the time,,False,male,urban,False,1,False,1,4,False,False,False,140,67,18,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 1, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 140, and height in inches is 67, and age is 18, and often asks God for help is True, and number of previous convictions is False"
