pubid,sex,birthyear,birthmonth,race_ethnicity,race_specific,height_ft,height_in,weight,married02,educ02,college02,experience02,hhsize97,parentrelations,urbanrural,homelessness,faminjail,foodstamp,victim,askgod,godhasnothingtodo,expectdeath,depression,marijuana,cocaine,anydrug,arrestedby2002,numberofarrestsby2002,arrestedafter2002,convictedby2002,convictedafter2002,recidivism,firstcrime,race,num_weight,short,long
24,Male,1984,6: June,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,5,0,150 TO 174,"Never married, cohabiting",None,"Not enrolled, no high school degree, no GED",0,6,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,1,0,1,1,6,1,1,0,1,0,hispanic,162.0,The person is an 18-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted.,"The person is an 18-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted. He is 5 feet 0 inches and weighs between 150 and 174 lbs. He has never been married and is currently not living alone. He does not have a high school diploma or GED certificate and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 6, in an urban area. He considers that God has something to do with what happens to him personally."
43,Female,1981,10: October,Black,Black or African American,5,4,125 TO 149,"Never married, not cohabiting",GED,"Not enrolled, some college",3,4,"Biological mother, marital status unknown",Urban,NO,NO,1,NO,FALSE,TRUE,-4,None of the time,1,0,1,1,1,0,0,0,0,0,black,137.0,The person is a 21-year-old female who identifies herself as Black. She has been arrested 1 time but has not been convicted.,"The person is a 21-year-old female who identifies herself as Black. She has been arrested 1 time but has not been convicted. She is 5 feet 4 inches and weighs between 125 and 149 lbs. She has never been married and is currently living alone. She has a GED certificate and is not enrolled in college. She has held 3 jobs during the year. She has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, she lived with her biological mother in a household of size 4, in an urban area. She considers that God has nothing to do with what happens to her personally."
64,Male,1980,3: March,Black,Black or African American,5,9,175 TO 199,"Never married, cohabiting",High school diploma (Regular 12 year program),"Not enrolled, some college",0,3,-4,-4,NO,NO,0,NO,TRUE,FALSE,0: 0%,None of the time,0,0,0,1,1,0,0,0,0,0,black,187.0,The person is a 22-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 22-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 9 inches and weighs between 175 and 199 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived in a household of size 3. He considers that God has something to do with what happens to him personally."
73,Male,1984,10: October,Black,Black or African American,5,8,180,"Never married, not cohabiting",High school diploma (Regular 12 year program),Enrolled in a 2-year college,4,5,-4,-4,NO,NO,0,NO,TRUE,TRUE,-4,None of the time,1,1,1,1,2,0,0,0,0,0,black,180.0,The person is an 18-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted.,"The person is an 18-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted. He is 5 feet 8 inches and weighs 180 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 4 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived in a household of size 5. He considers that God has nothing to do with what happens to him personally."
79,Male,1983,12: December,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,5,6,140,"Never married, not cohabiting",None,"Not enrolled, no high school degree, no GED",3,4,Anything else,-3,NO,NO,0,NO,TRUE,TRUE,-4,Most of the time,1,0,1,1,1,0,0,0,0,0,hispanic,140.0,The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 6 inches and weighs 140 lbs. He has never been married and is currently living alone. He does not have a high school diploma or GED certificate and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana) and most of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived in a household of size 4. He considers that God has nothing to do with what happens to him personally."
80,Male,1981,6: June,Black,Black or African American,5,11,200 TO 224,"Never married, not cohabiting",GED,"Not enrolled, GED",2,4,"Biological mother, marital status unknown",Urban,YES,NO,0,NO,TRUE,TRUE,-4,All of the time,1,0,1,1,2,1,0,1,1,0,black,212.0,The person is a 21-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted.,"The person is a 21-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted. He is 5 feet 11 inches and weighs between 200 and 224 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana) and all of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally."
85,Male,1984,2: February,Non-Black / Non-Hispanic,White,5,7,155,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",0,4,"Biological mother, other parent present",-3,NO,NO,0,YES,-2,TRUE,-4,Most of the time,1,0,1,1,1,0,1,0,0,0,white,155.0,The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 7 inches and weighs 155 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and most of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 4. He considers that God has nothing to do with what happens to him personally."
90,Male,1981,11: November,Hispanic,White,5,8,220,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",2,4,Both biological parents,Urban,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,0,0,0,1,1,0,0,0,0,0,hispanic,220.0,The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 8 inches and weighs 220 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally."
113,Male,1984,4: April,Non-Black / Non-Hispanic,White,6,2,159,"Never married, not cohabiting",High school diploma (Regular 12 year program),Enrolled in a 4-year college,1,5,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,FALSE,FALSE,-4,None of the time,1,1,1,1,1,0,0,0,0,0,white,159.0,The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 6 feet 2 inches and weighs 159 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally."
116,Male,1984,10: October,Black,Black or African American,5,7,140,"Never married, not cohabiting",None,"Enrolled in grades 1-12, not a high school graduate",1,4,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,0,0,0,1,1,0,0,0,0,0,black,140.0,The person is an 18-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is an 18-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 7 inches and weighs 140 lbs. He has never been married and is currently living alone. He is enrolled in school at the present moment. He has held 1 job during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally."
