NAME                                                            ID              SIZE      MODIFIED     
granite3.1-dense:2b-instruct-fp16                               1f64b4541957    5.1 GB    4 hours ago     
granite3.1-dense:8b-instruct-q4_K_M                             86ac4cf0cb84    4.9 GB    5 hours ago     
dolphin3:8b-llama3.1-fp16                                       b0941c6f3226    16 GB     34 hours ago    
dolphin3:8b-llama3.1-q4_K_M                                     d5ab9ae8e1f2    4.9 GB    34 hours ago    
dolphin-2.9.2-qwen2-7b:Q4_K_M                                   f855becf0287    4.7 GB    6 days ago      
dolphin-llama3.1:8b-v2.9.4-Q4_K_M                               2116d4dc59d3    4.9 GB    6 days ago      
dolphin-mistral-nemo:12b-v2.9.3-Q4_K_M                          9df8d34dcd55    7.5 GB    6 days ago      
Phi-4:fp16                                                      b2671ddaf83f    29 GB     6 days ago      
Phi-4:Q4_K_M                                                    f00b090d5270    9.1 GB    6 days ago      
mistral:7b-instruct-fp16                                        7334da3db4d2    14 GB     6 days ago      
smallthinker:3b-preview-q4_K_M                                  b136f0e0ef96    2.1 GB    6 days ago      
llama3.1:8b-instruct-fp16                                       4aacac419454    16 GB     6 days ago      
llama3.1:70b-instruct-q4_K_M                                    711a9e8463af    42 GB     6 days ago      
llama3.2:1b-instruct-q4_K_M                                     22bc6b92eb01    807 MB    6 days ago      
vanilj/Phi-4:fp16                                               b2671ddaf83f    29 GB     6 days ago      
phi3.5:3.8b-mini-instruct-q4_K_M                                570961596984    2.4 GB    6 days ago      
falcon3:10b-instruct-fp16                                       bbe05566f48a    20 GB     6 days ago      
tulu3:8b-fp16                                                   67f115a19953    16 GB     7 days ago      
falcon3:7b-instruct-fp16                                        770fc0679654    14 GB     7 days ago      
falcon3:3b-instruct-fp16                                        a45a32ae0c91    6.5 GB    7 days ago      
smallthinker:3b-preview-fp16                                    71cf19d4f87a    6.8 GB    7 days ago      
llama3.2:3b-instruct-q4_K_M                                     a80c4f17acd5    2.0 GB    2 weeks ago     
